Fecha,Puertas,ID Dispositivo,Dispositivos,Grupo Usuario,Usuarios,Evento
2024-02-01 15:59:12,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,1214,1:N authentication succeeded (Face)
2024-02-01 15:51:02,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,51,1:N authentication succeeded (Face)
2024-02-01 15:44:53,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,2,1:N authentication succeeded (Face)
2024-02-01 15:39:43,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,89,1:N authentication succeeded (Face)
2024-02-01 15:39:34,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,146,1:N authentication succeeded (Face)
2024-02-01 15:36:26,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,69,1:N authentication succeeded (Face)
2024-02-01 15:36:05,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,6,1:N authentication succeeded (Face)
2024-02-01 15:35:45,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,26,1:N authentication succeeded (Face)
2024-02-01 15:35:26,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,72,1:N authentication succeeded (Face)
2024-02-01 15:35:24,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,91,1:N authentication succeeded (Face)
2024-02-01 15:34:02,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,73,1:N authentication succeeded (Face)
2024-02-01 15:33:33,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,59,1:N authentication succeeded (Face)
2024-02-01 15:33:22,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,150,1:N authentication succeeded (Face)
2024-02-01 15:33:10,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,71,1:N authentication succeeded (Face)
2024-02-01 15:32:48,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,75,1:N authentication succeeded (Face)
2024-02-01 15:32:39,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,171,1:N authentication succeeded (Face)
2024-02-01 15:32:35,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,182,1:N authentication succeeded (Face)
2024-02-01 15:32:31,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,120,1:N authentication succeeded (Face)
2024-02-01 15:31:57,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,185,1:N authentication succeeded (Face)
2024-02-01 15:31:53,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,95,1:N authentication succeeded (Face)
2024-02-01 15:31:48,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,169,1:N authentication succeeded (Face)
2024-02-01 15:31:43,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,145,1:N authentication succeeded (Face)
2024-02-01 15:31:36,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,149,1:N authentication succeeded (Face)
2024-02-01 15:31:31,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,167,1:N authentication succeeded (Face)
2024-02-01 15:31:27,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,111,1:N authentication succeeded (Face)
2024-02-01 15:31:18,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,39,1:N authentication succeeded (Face)
2024-02-01 15:31:15,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,3,1:N authentication succeeded (Face)
2024-02-01 15:31:12,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,141,1:N authentication succeeded (Face)
2024-02-01 15:31:09,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,166,1:N authentication succeeded (Face)
2024-02-01 15:31:05,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,64,1:N authentication succeeded (Face)
2024-02-01 15:31:02,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,8,1:N authentication succeeded (Face)
2024-02-01 15:30:56,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,19,1:N authentication succeeded (Face)
2024-02-01 15:30:51,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,108,1:N authentication succeeded (Face)
2024-02-01 15:30:31,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,33,1:N authentication succeeded (Face)
2024-02-01 15:29:38,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,107,1:N authentication succeeded (Face)
2024-02-01 15:29:35,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,177,1:N authentication succeeded (Face)
2024-02-01 15:29:14,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,27,1:N authentication succeeded (Face)
2024-02-01 15:26:57,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,138,1:N authentication succeeded (Face)
2024-02-01 15:26:31,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,122,1:N authentication succeeded (Face)
2024-02-01 15:25:59,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,32,1:N authentication succeeded (Face)
2024-02-01 15:25:37,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,12,1:N authentication succeeded (Face)
2024-02-01 15:25:34,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,9,1:N authentication succeeded (Face)
2024-02-01 15:23:06,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,168,1:N authentication succeeded (Face)
2024-02-01 15:23:03,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,170,1:N authentication succeeded (Face)
2024-02-01 15:22:46,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,186,1:N authentication succeeded (Face)
2024-02-01 15:22:33,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,7,1:N authentication succeeded (Face)
2024-02-01 15:21:34,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,37,1:N authentication succeeded (Face)
2024-02-01 15:21:30,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,127,1:N authentication succeeded (Face)
2024-02-01 15:15:42,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,81,1:N authentication succeeded (Face)
2024-02-01 14:19:37,,542361075,FaceStation 2 542361075 (192.168.1.220),,,Device Disconnection Detected
2024-02-01 14:19:35,,542361075,FaceStation 2 542361075 (192.168.1.220),,,BioStar 2 disconnected
2024-02-01 14:16:25,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,1(Administrator),User update succeeded
2024-02-01 14:16:22,,542361075,FaceStation 2 542361075 (192.168.1.220),,,BioStar 2 connected
2024-02-01 14:16:02,,542361075,FaceStation 2 542361075 (192.168.1.220),,,BioStar 2 disconnected
2024-02-01 14:15:49,,542361075,FaceStation 2 542361075 (192.168.1.220),,,Device Disconnection Detected
2024-02-01 12:59:26,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,187,1:N authentication succeeded (Face)
2024-02-01 12:47:39,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,34,1:N authentication succeeded (Face)
2024-02-01 12:34:51,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,8,1:N authentication succeeded (Face)
2024-02-01 12:34:46,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,8,1:N authentication succeeded (Face)
2024-02-01 12:05:40,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,8,1:N authentication succeeded (Face)
2024-02-01 12:00:55,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,182,1:N authentication succeeded (Face)
2024-02-01 11:48:51,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,111,1:N authentication succeeded (Face)
2024-02-01 11:44:17,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,169,1:N authentication succeeded (Face)
2024-02-01 11:43:51,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,26,1:N authentication succeeded (Face)
2024-02-01 11:43:46,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,2,1:N authentication succeeded (Face)
2024-02-01 11:43:41,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,6,1:N authentication succeeded (Face)
2024-02-01 11:37:16,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,150,1:N authentication succeeded (Face)
2024-02-01 11:15:38,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,120,1:N authentication succeeded (Face)
2024-02-01 11:14:01,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,26,1:N authentication succeeded (Face)
2024-02-01 11:13:40,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,169,1:N authentication succeeded (Face)
2024-02-01 11:09:48,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,2,1:N authentication succeeded (Face)
2024-02-01 11:09:33,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,6,1:N authentication succeeded (Face)
2024-02-01 11:09:16,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,185,1:N authentication succeeded (Face)
2024-02-01 11:09:12,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,59,1:N authentication succeeded (Face)
2024-02-01 11:09:09,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,73,1:N authentication succeeded (Face)
2024-02-01 11:09:07,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,149,1:N authentication succeeded (Face)
2024-02-01 11:06:54,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,39,1:N authentication succeeded (Face)
2024-02-01 11:06:51,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,19,1:N authentication succeeded (Face)
2024-02-01 11:06:48,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,64,1:N authentication succeeded (Face)
2024-02-01 10:37:42,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,59,1:N authentication succeeded (Face)
2024-02-01 10:36:49,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,73,1:N authentication succeeded (Face)
2024-02-01 10:36:45,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,149,1:N authentication succeeded (Face)
2024-02-01 10:36:41,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,185,1:N authentication succeeded (Face)
2024-02-01 10:36:16,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,19,1:N authentication succeeded (Face)
2024-02-01 10:36:13,,542361075,FaceStation 2 542361075 (192.168.1.220),All Users,39,1:N authentication succeeded (Face)
