Date,Door,Device ID,Device,User Group,User,Event
2019-04-01 16:26:11,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,160,1:N authentication succeeded (Face)
2019-04-01 16:26:03,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:25:56,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,95951,1:N authentication succeeded (Face)
2019-04-01 16:25:56,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102969,1:N authentication succeeded (Face)
2019-04-01 16:25:46,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,8345,1:N authentication succeeded (Face)
2019-04-01 16:25:29,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,11818,1:N authentication succeeded (Face)
2019-04-01 16:25:26,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102984,1:N authentication succeeded (Face)
2019-04-01 16:25:21,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,2229,1:N authentication succeeded (Face)
2019-04-01 16:25:03,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,88042,1:N authentication succeeded (Face)
2019-04-01 16:24:59,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,100752,1:N authentication succeeded (Face)
2019-04-01 16:24:56,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,93002,1:N authentication succeeded (Face)
2019-04-01 16:24:43,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,102376,1:N authentication succeeded (Face)
2019-04-01 16:24:42,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,90524,1:N authentication succeeded (Face)
2019-04-01 16:24:40,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102200,1:N authentication succeeded (Face)
2019-04-01 16:24:37,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,67571,1:N authentication succeeded (Face)
2019-04-01 16:24:13,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,82773,1:N authentication succeeded (Face)
2019-04-01 16:24:03,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102840,1:N authentication succeeded (Face)
2019-04-01 16:23:39,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,93053,1:N authentication succeeded (Face)
2019-04-01 16:23:35,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,102205,1:N authentication succeeded (Face)
2019-04-01 16:23:32,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,102491,1:N authentication succeeded (Face)
2019-04-01 16:23:28,,542189366,FaceStation 2 542189366 (192.168.128.22),All Users,102951,1:N authentication succeeded (Face)
2019-04-01 16:23:28,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102939,1:N authentication succeeded (Face)
2019-04-01 16:23:21,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,95929,1:N authentication succeeded (Face)
2019-04-01 16:23:21,,542189843,FaceStation 2 542189843 (192.168.128.17),All Users,101156,1:N authentication succeeded (Face)
2019-04-01 16:23:21,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:23:15,,542189843,FaceStation 2 542189843 (192.168.128.17),,,Authentication failed (Timeout)
2019-04-01 16:23:14,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,102571,1:N authentication succeeded (Face)
2019-04-01 16:23:10,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:23:10,,542189344,FaceStation 2 542189344 (192.168.128.16),All Users,90436,1:N authentication succeeded (Face)
2019-04-01 16:23:00,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:22:56,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,97750,1:N authentication succeeded (Face)
2019-04-01 16:22:56,,542340160,FaceStation 2 542340160 (192.168.128.9),All Users,95988,1:N authentication succeeded (Face)
2019-04-01 16:22:50,,542189346,FaceStation 2 542189346 (192.168.128.224),All Users,102939,1:N authentication succeeded (Face)
2019-04-01 16:22:47,,542189346,FaceStation 2 542189346 (192.168.128.224),,,Authentication failed (Timeout)
2019-04-01 16:21:53,,542340161,FaceStation 2 542340161 (192.168.128.8),All Users,97524,1:N authentication succeeded (Face)
