Fecha	ID Dispositivo	Dispositivo	Grupo Usuario	Usuario	Evento
16/12/2019 17:38	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	115289	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	117866	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	67021	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	117163	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119351	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118590	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	116247	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	38085	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	68024	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	67282	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:38	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	117807	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119632	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	119314	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118603	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119009	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	119086	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	115070	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	410	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119087	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	307	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	117621	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	463	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	681	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	118860	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118660	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	68491	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	118656	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	115612	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	116216	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	116295	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	58975	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	68989	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	117719	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	116920	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	522	1:N Autenticaciￃﾳn exitosa (Rostro)
16/12/2019 17:37	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	119385	1:N Autenticaciￃﾳn exitosa (Rostro)
